"HP ENVY x360 13m-ag0001dx Touchscreen (Ryzen 5-2500U 2Ghz, RAM 8GB, 128 GB SSD)",US,$229.00,Used,AMD Ryzen 5 2500U,13.3 in,Gray,8 GB,128 GB,AMD Radeon Vega 8 Graphics,2.00 GHz,HP,ENVY,Notebook/Laptop,1920 x 1080,ENVY x360 Convertible 13m-ag0001dx,Windows 10 Home,,SSD (Solid State Drive),,https://www.ebay.com/itm/225629527772?hash=item3488915edc:g:J98AAOSwrfVkkf6o&amdata=enc%3AAQAIAAAA4EX7moZHd9jeJ3KkFWxq1g0EPpE8eFgCaMTPhgDDRPUSKhpZgkgpek4ECCQcgKuM8o%2Fcs0KRbyfiqtEl%2FlEf%2Fp7YPg31Ix4UN80NdpMQtM45nJUDb%2BsK%2BQ1prZea6I8YWjIoMbgfBCtoIpVtj83wLOk8A%2BJEh%2F7cyIeoEkTKU9Ie4d5vMeSfgPUtqBA%2Bx11sleToTrevO70bex%2BgdnqIrPndHqkVQzfkguCQWvBvkaSfNX5fle3siXfkxzpax9Pztr1HC7WioeLYNoKrrFlo%2F%2Flcx59UiB%2BUCZB3qYxzPlx3%7Ctkp%3ABk9SR8DSv42jYg
Lenovo Moto tab AT&T TB-X704A,US,$40.00,Used,Lenovo,Intel Celeron N,10 in,,,,,,,,,Tab 4,,32 GB,,,https://www.ebay.com/itm/285349420027?hash=item4270269bfb:g:jW0AAOSw5UtkmJgs&amdata=enc%3AAQAIAAAAsJKxFEujc0zCvUZrO7UcqbtbByJV4cIxq4%2B93TEonSQ3Kxd39WcDOFf3ZlPQVA5aFGp4DpUlUCM4DbNmeoMywIv%2BeKMvn4VBsoHZI5KUUgC2nRYb9Zg9%2BbU6yzD1iPXGueX6BIFfMcfwfn88%2FD2ZO36LkwylFnQZ9Wer8%2BhC9W%2B3qs0wP53V4KAPYvkDh%2Bw4evUREhkkaUDpHfG8Wcubpa%2Fsf9X5eFzy2CHN1Vv%2FNl3R%7Ctkp%3ABk9SR8DSv42jYg
Dell Latitude E5570 Intel Core i5-6200U @ 2.30GHz 8GB RAM 500GB HDD,US,$46.00,Used,Intel Core i5 6th Gen.,15.6 in,,8 GB,,,2.30 GHz,Dell,Latitude,Notebook/Laptop,1366 x 768,Dell Latitude E5570,Not Included,500 GB,HDD (Hard Disk Drive),,https://www.ebay.com/itm/145159689316?hash=item21cc311464:g:Yp4AAOSwCkBkmzc7&amdata=enc%3AAQAIAAAA0CvkpCrPWpihQsXWS8nUKs9sYkA9J8szcqbDeFWoK6B27PUcwTuZgXN2S%2Fe3uJqlQMMz0ZgUdMiJuWu49rr%2B1cJ4Ql8yN9NDHW7AEUyH3O6tGegqvM1uE0lSfcm7ErhoXnJuxPElDEqrX8qQq0%2BNN6mDmBHf4eEtoaLjZ0yryd3iLW%2B7ybTnoAGeA2cHQIlSLR2Vr28jLKJXGT9hKmpRCNYc4eaCK5vTCve9pilr2ji5qp5t88C1RL4JVuX5jMfskYFDRI3e2O1NRmKFexBtVcw%3D%7Ctkp%3ABk9SR8DSv42jYg
"ASUS  VivoBook Flip 14 TM420UA-DS71T AMD Ryzen 7 5700U 14"" Laptop Computer 512GB",US,$395.00,Open box,AMD  Ryzen 7 5700U,14 in,Blue,8 GB,512 GB,Intergrated AMD Radeon Graphics,2.70GHz,ASUS,,Notebook/Laptop,1920 x 1080,VivoBook Flip 14 (TM420UA-DS71T),Windows 10 Home (64-bit),,SSD (Solid State Drive),,https://www.ebay.com/itm/385714954990?hash=item59ce6722ee:g:AUMAAOSwHWJkmzyN&amdata=enc%3AAQAIAAAAsIqYKp%2FdytYpCxp9cwBXRH%2B4a2vjLJv0kSEn47gSjridCDfNgmhKYWWe2%2B27xugfR0XpYe%2BbIkdCbZUT0VHsoYCacclUAva8NkBchg%2F4JueaXEaa0kQCvZAVx4VtK0uEvuFjNJQMtU8haHoPzws8OE7DMvyAYC3p472Rrq%2BwFNVU%2FGP35DC7m5EOcoHSBRcci6qRr1Dx1DOnyJc2pJBV%2FNztaRnuAAFKset9zvoN1BF1%7Ctkp%3ABk9SR8LSv42jYg
Dell Precision 5510 Core i5 6300HQ No RAM No HDD 15.6'' No OS Laptop,US,$64.63,For parts or not working,Core i5 6300HQ,15.6,,No,,,,Dell,,Laptop,,5510,No OS,No,,,https://www.ebay.com/itm/134637223832?hash=item1f5900ff98:g:g6oAAOSw55lkg38g&amdata=enc%3AAQAIAAAA4AOmnQXMckDi4E8F5ymIlpEKUl5SEnm03yiCCQ04IQjJIMibGutDSP%2B46nMl2GOOeG%2BOkaxS8G3%2BSJDmudSuQCCn0lZZgRFWkDqmwb73cZOmMgych6uN1iprR1ab3eYKwWILPwiBPfV6jSFSrnK2LkMBcSoIdiJG79jgZLhFI9%2Fz%2FWBGYYLwc53tgHsJSusSsgHuDk4LQpNf8XBqLjmtPILUeIh%2F0Y2GNIxp%2BWPBo9WJWDH8VXVYokH%2Fl5%2BA3gDIJAft%2Fps3QOsbqkCB2qt1BpRPyDD0u1Sim8SiG9jmAumN%7Ctkp%3ABk9SR8LSv42jYg
No BATTERY OS or SSD - HP ProBook 640 G1 8GB RAM DDR3 i5 4210M 2.6GHz     (U2LA),US,$39.99,Used,Intel Core i5 4th Gen.,14 in,,8 GB,Not Included,,2.60 GHz,HP,,Notebook/Laptop,,HP Probook 640 G1,Not Included,Not Included,Not Included,,https://www.ebay.com/itm/325714573442?hash=item4bd619f882:g:2uIAAOSwEatknxrw&amdata=enc%3AAQAIAAAAsDzaUNHxCqMLwUY2eu41nBe%2BB8evMBlpuk8wGDMCu0aIYEBvfRSZqQAsmlqFNFc72FvzqiGQgqUNuzduqgbJ36bcQUDKbhcOlZsmtAk3D5FcQ5ykg%2F8WITk0Q0SOw%2FqKYR7MK4Dx%2FPJGIkCmWkgSoPvCamAxBHa6jBlpSTWknNffFLh%2BsvwI7SVnDGspYCBobBJeC38UNligwmVXVjcWFuvacMFQRsu%2FW4TaEnYGBx7e%7Ctkp%3ABk9SR8LSv42jYg
DELL LATITUDE E7240 Laptop i7-4600U 2.7GHz 16GB RAM 256GB SSD *NO OS*,US,$79.90,Used,Does not apply,Does not apply,,16 GB,256 GB,,,DELL,,,,,,,,,https://www.ebay.com/itm/225627421447?epid=22026296945&hash=item3488713b07:g:tbIAAOSwqB1kkKjS&amdata=enc%3AAQAIAAAAsBR7fG51dFOECR3YYHiVPT6S9DERwExLe35pKtOgXWSdwejxdpSzstyDOyq5AVTUPzxrJnxXAJnbUaAGCxnvXiSc4CBpDuSVCV3%2Bzw%2FhDlG1RTTO5zZYW0WdiCdRZwY9t64YQiiwjLcfpr2tn2%2Fka%2BYSH9xMI59ozAyPm8SKkrrbCtNHrPF3kOUI3Onj11EiXunaCPMa1utYhEi7qbI5%2Bk6%2FPhUuXBukMZW%2Ffusb08oh%7Ctkp%3ABk9SR8LSv42jYg
"Google Pixelbook COA i5-7Y57 12.3"" 8GB RAM 128GB SSD 1.20 GHz Chrome OS - Silver",US,$139.99,Used,Intel,12.3 in,Silver,,128GB,Integrated/On-Board Graphics,1.20GHz,Google,,Laptops,2400x1600,PIXELBOOK COA,Chrome OS,,SSD,,https://www.ebay.com/itm/175762169881?hash=item28ec3de019:g:RFQAAOSwXBNkgP0c&amdata=enc%3AAQAIAAAAwFAqB5BMPpCt9HixWDfbMt3BMiQUt7jkR0m1BGeP6WHU6n9w6Jo2Z5yYBiQ0saHllR5Y69p7WTUHvBd0chB4kbjZyO6x2%2F3OqETJ%2FNAgWwj322nsNuuBdvz1EBpfpzpD8iRVljrEeAiyQc12p%2B4QahmX1NVEMRzyT3ah7%2FixKmnMjvOqgOcPFoo16JnyreoncuHGteAQCC0pYfZqs5rrV3itOMRC2X2yz0aVv2baxL0kIgHA%2F7JdtmHtwpERJQzutQ%3D%3D%7Ctkp%3ABk9SR8LSv42jYg
"MAINGEAR Vector Pro 17.3 inch RTX 3080 Gaming Laptop, Intel Core i7 11800H 165Hz",US,"$1,275.00",Used,Intel,Intel Core i7 11th Gen.,17.3 in,Black,32 GB,1 TB,NVIDIA GeForce RTX 3080,2.30 GHz,,Notebook/Laptop,2560 x 1440,MG-VCP17I-3080,Windows 11 Pro,,SSD (Solid State Drive),,https://www.ebay.com/itm/295785671185?hash=item44de332a11:g:8PkAAOSwmWNkh3Hz&amdata=enc%3AAQAIAAAAwDtdqBmokQ1O2ucSuKlahITqCKW5mSGYPbYpYZDYOexgDS8vxWw23h18RxwcX3vMDArJt9e5ZmO3fXxm90333Izx%2Bhpwm7scouOiS8ZEjziounK4vYnlunpnj1z%2BwG653kzyiS8W6Sm6jkQntqEup3BDom0ZXfI976V%2BY85Q9hYiGlGHGa5PE4P4jFFAjjBrDWMlu6t5ZhQt4%2BqKSb76pIIxzofW5AxXMB9sdHWP6QB86OulD4YyHQnkr2Dhf4qJUw%3D%3D%7Ctkp%3ABk9SR8LSv42jYg
SONY VAIO Laptop Tablet,US,$45.00,Used,Intel Pentium,13.3 in,,,,Intel HD Graphics 4000,,Sony,,Notebook/Laptop,,Sony Vaio Duo 13,,,SSD (Solid State Drive),,https://www.ebay.com/itm/235065171369?hash=item36baf9dda9:g:lJcAAOSw1LNkmJXf&amdata=enc%3AAQAIAAAA0AfxpI%2BRKZQfJnWmzanKyWxUKDaW6ww%2BPa6lclZUwxlBGVHtRu%2F2%2BIRgMBdYN0xyvuYBO0Sq7teVnH6zjRapRfUr%2FW6I6ydUizhYQ1eO69qhHFaQWTtssSN7RUexalE9a0R%2Fi5Jsc24hCB0feiafO5JQ3SQoqF%2FtDGuErh4%2BTqhuuBX8jLeWdp76zGnhnCylqgH6GHeHx0O%2BBCmVvGmmoFxMzVWCsolo9oKoytj0ujRxfGWLJpVgPfu%2FPbPzMKyQpgjk5b2im5Iom7yM%2Bxm0HJU%3D%7Ctkp%3ABk9SR8LSv42jYg
DELL INSPIRON 15 3567 | CORE I3-6006U | 128GB SSD | Windows 10 Pro Laptop 8GB,,,Used,Intel Core i3-6006U,"15.6""",,8 GB,128 GB,,2.00GHz,Dell,,Notebook/Laptop,,Dell Inspiron 15 3567,Windows 10,128 GB,SSD (Solid State Drive),,https://www.ebay.com/itm/305002069945?hash=item47038a3fb9:g:xDkAAOSwEc5knIPk&amdata=enc%3AAQAIAAAAwNdpkGqunn2Emvr7ul9lp9PV4AXa9zP%2F8aVZJkNJkhuBMdYcNutmqNVPC3skqkqGfvYkr1MJ%2FRPIH3jpj0RrYcs3n388BgWQZo8SXOAYvIdr9Hkvure6MPwpvz1kh2TkthAW9m%2BWh3XewTShLDR%2FaCHfHuO4mLQkN5b%2FbOIQffogLV7QCRVT1LoBneBAsyHqo%2F%2Bd1hiaj%2BWE6veRORk4tn1MHTFggoxjEqel7G1FY%2F5X9noR4PqgvcKAMJhvRWAi%2FQ%3D%3D%7Ctkp%3ABk9SR8LSv42jYg
Dell Inspiron Special Edition i15Rse-4267ALU 15-Inch FHD 1080p Laptop / i7-3632Q,US,$99.99,Used,Intel Core i7 7th Gen.,15 in,,8 GB,,AMD Radeon HD 7730M,3.00 GHz,Dell,Inspiron,Notebook/Laptop,1920 x 1080,Inspiron SE i15Rse-4267ALU,Windows 8,750 GB,HDD (Hard Disk Drive),,https://www.ebay.com/itm/185962926202?hash=item2b4c41107a:g:wSsAAOSwriVknHqk&amdata=enc%3AAQAIAAAA0KHD9I4gZXCH88GFLmhnMSdYtHNz5VXy3EQCWsAQri19s%2FpTh0GJSmrJAbX3OeYyYxYUrQ0PtXx22lieiU4jAzaIsOkYLWTqzfHD060m1xMrQltl6MKXkTt46DW3JK2v6UIpwRwJZHnysSszqh%2FrDs3bDXLcdq%2BvuZ%2F7etjUsM83jM3ZzPPlDwf3CbLWxZ%2Fbwd%2BgVF1FUcPcuc04bFx7Gzp1%2BbMX3hZ4ABlV57AgjAzhI671LIZf82qDArYGRhdt1GEsbYQbs8BGuGniuIpjg%2FI%3D%7Ctkp%3ABk9SR8LSv42jYg
,,,,https://www.ebay.com/itm/295775558551?epid=13053504986&hash=item44dd98db97:g:HK4AAOSw2S5klKEq&amdata=enc%3AAQAIAAAAsPjxVCMGZ5Dg3Y9U%2BGF4Bb%2F%2B2URM%2FQbkUcCLDgYsknwI0G9u5Ck4LGkTUnrdpT3ntckbTcEmg67GDv63rgas2IeExTUUrV%2Bb7b71Kwq8mq6RKt5DfKRnPaJODvjTzNwYPHbtzN7EgKgrtLxCygASVnzA%2FIN72lrTMaDDSFdfgxPm8qQxuF6fpZD9uEoy5EgQiqV7r3RVWEPNXpO8wihPl5vnbwezFMsHV7b0QHaDBFhq%7Ctkp%3ABk9SR8LSv42jYg
HP ProBook 450 G4 15.6in Intel Core i7-7500U @ 2.70 GHz 8GB 128GB SSD Win 10 Pro,,,Used,Intel Core i7-7500U,15.6 in,Silver,8 GB,128 GB,Intel HD Graphics,2.70 GHz,HP,ProBook,Notebook/Laptop,1920 x 1080,HP  Probook 450,Windows 10 Pro,128 GB,SSD (Solid State Drive),,https://www.ebay.com/itm/295789654214?hash=item44de6ff0c6:g:2tMAAOSwHINknc2Z&amdata=enc%3AAQAIAAAAwDI3gjBsWAvV4q0SVKelidYQBeGquSbx2BWiOApDSP7vYbNEAr5F9nQtJ8xCRzUptE4mRb6Q1N7x5QVQZCpljSmPasLF6IroojwXKRqR%2FlcqLk7mbrXZMfzS%2Fr0mfQ9lyoMtX2N13fyHBEZKdhJg%2FKzB%2B9Vik1Tq6M0ctQcAI2fAMP%2BAMKxrzirEclTbSrDl%2BetXFiMCYTGzQBZKu%2BPaEOnlM13FGKKZZT3pd6xxedo%2Fd8wa9kRQS8ILCYpQVIPoGw%3D%3D%7Ctkp%3ABk9SR8LSv42jYg
Laptop HP ZBOOK 17 G1 i7 2.4ghz 16gb Ram 500gb SSD Nvidia Quadro K1100M,US,$150.00,Used,Intel Core i7 4th Gen.,15.6 in,,16 GB,500 GB,Nvidia Quadro K1100M,2.40 GHz,HP,Zbook,Notebook/Laptop,,HP ZBOOK 17 G1 I7,Windows 10,500 GB,SSD (Solid State Drive),,https://www.ebay.com/itm/115842292442?hash=item1af8bd1ada:g:n9IAAOSwEl1klxuV&amdata=enc%3AAQAIAAAAwG3PIzWZjDzSk8WAcxhfFcRsD5EFh1hEcYlj1NGiOy8enY%2BCKmZAOYcGblWKUwD7zebDyU%2FSD7CQm6%2BGDZZl7rzzG7MHrByovBjsnm6XHZAaUpEwsOhEH6SA8jYcMINoYMC1u59R%2Fe%2Bt8K8WcoNgIPT0elMnxvPPsRE3IaEj5c9H7uuxdtIsP1QzgMXQ%2FMHoBykY6I%2BN3wQuVyvdo3fFJyLWxd1JkxojkAo%2FdqtlMklfp8cNB2EJBKgUE%2BfGb46%2BoQ%3D%3D%7Ctkp%3ABk9SR8TSv42jYg
,,,,https://www.ebay.com/itm/394706009907?epid=14053224588&hash=item5be64fbf33:g:f~cAAOSwu99kmzXu&amdata=enc%3AAQAIAAAAwOcwebXEn9uBNO6ch%2F0AhlwT%2F%2B9%2BMPfh1Z9J47xoxyjuvHyfQk4exmXNSNb1JE2Mxy2UMDfPzdpqfP3NC%2BYxNt8r9EFVpZXqo%2BLsMVSnwStprt%2Bj3EDi1opq5jeyORZwbBKeUePl5hIYWNLY3RqCgaILPS1GSs%2BBB%2BsCVgrmWN55i8%2B1GrenomlyvO65jrmzx%2BKK4CGBZjFkPcBCc09GQDP%2BeZdUKlMefn1g1601KZLlT83tPR9tdixbWr%2B6a4EVcA%3D%3D%7Ctkp%3ABk9SR8TSv42jYg
"Acer Nitro 5 N20C2 RTX 3050 Ti 17"" 2.3GHz 16GB Ram 1TB SSD Win 11 Home Laptop",US,$549.99,Used,Core i7,17 in,,16 GB,1 TB,,2.30 GHz,Acer,Predator,Notebook/Laptop,,Acer Nitro 5,Windows 11 Home,1 TB,SSD (Solid State Drive),,https://www.ebay.com/itm/225633585375?hash=item3488cf48df:g:fFMAAOSwxmxkbUbP&amdata=enc%3AAQAIAAAA4KPEXvoBLxgeScBQcn8NIlTw8J9WjODN5QUGWjpcMtuQEHsU81dlaZXD3%2FivjtRj3uBaj8a6Kq48Wq4hUUE5U%2BY8BVSho4MgU%2Fdapq8pOtCL6BLLDsbB2ujFunnQ9iFXdnClp%2FNuGiJo20Z4TPZXZKVEOFNBu2zK0aKPB%2BXXJt9K6Wqi%2BKsCjvoQ95rCQ3%2FdkyIXDd6drFzVbIQrlxUqkzdQ8pJ6zFdqQZ%2FGvO5b0lyuV28C0jtRPIPwcuneOgZwnfopL%2FC8upd026PAbnTQas%2FqrZafHCHt8N38QFBua0Dl%7Ctkp%3ABk9SR8TSv42jYg
msi gaming laptop,US,$360.00,Used,Intel Core7Gencore I7,15.6 in,Black,,256 GB,Invidia Geforce GTX 1060,2.80 GHz,MSI,Stealth pro,Notebook/Laptop,1920 x 1080,MSI GS Series,Windows 10,1 TB,HDD + SSD,,https://www.ebay.com/itm/275920900697?hash=item403e2ad259:g:m2AAAOSwbZFkTrau&amdata=enc%3AAQAIAAAA4CI6ra%2F3Lvtdxda7NZOXvvE0huMs3gGwOfxaX%2FXAbZ6oogqTXWpGaOilQjRszvBkHaErGJVR6pdVRL1lihIeiA%2FmW1B2%2F25kWbo5j7bzVEpK%2B6wIaJVZmb23k7AHKPDl%2FUy2bRRYzbD6F%2BEWggNmeBCO%2BffYxUVIayjFoZ3nQ5X%2FS7UY%2BYUJotdcY6TO9JoTWOkC9ZLx35InInCfK9IuFQgwljXGoZ4%2FkICnGpyCnc4pQVV5CktXg%2B1%2FIltzkBPdIF4572f11LZqAW%2BgMNLFDVe7PobQym6Sc0zs233fHwY1%7Ctkp%3ABk9SR8TSv42jYg
"Lenovo ThinkPad T460s Intel Core i5-6300U 2.4GHz 4GB RAM NO HDD 14""",US,$55.55,Used,Intel Core i5-6300U,"14""",,,,,2.4GHz,Lenovo,,Notebook/Laptop,,ThinkPad T460s,Not included,NO HDD,other,,https://www.ebay.com/itm/374775706776?hash=item57425f7498:g:w0IAAOSwI6pkmJW6&amdata=enc%3AAQAIAAAA4Lwg4bjaOXQJhsD3ji9U6%2Bv3OMWshKouuc2mY3%2Fflu6IiHeZWlIiMyoJty%2B6n0TqYfh9bZcrpJo1rwPWxwdJSq7CRtsY0gjMdsf9Se%2F0nW56MSJAHOCmgtv4y9tib42RlAufZD9bg3IxetqJvNxckZq570RVgZJZyEC4wZ9CnoX3v6nyO9aZuNW4l76agmnKNHdzUx426fyg%2BsjX3t%2FZddKem84%2BSOoCIIb%2FtG2x68JaKgLtrjHFyseVqioHyhdkbO83rfGlEJfiX%2BCsogZsPKI50n4WnpA9oo%2BSwN8QNKt4%7Ctkp%3ABk9SR8TSv42jYg
Fujitsu Lifebook T937 i5-7300U @ 2.6GHz 8GB 256GB SSD,US,$81.00,For parts or not working,Intel Core i5 7th Gen.,13.3,Black,8 GB,256 GB,,2.60 GHz,Fujitsu,Lifebook,Notebook/Laptop,,Lifebook T937,Not Installed,,SSD (Solid State Drive),,https://www.ebay.com/itm/166194899538?hash=item26b1fcea52:g:GJ4AAOSw9xdkmaZh&amdata=enc%3AAQAIAAAAsAdxtumvjQThihFYfKrljPPsh5aQ%2BL%2Fp12rgj95zyIyDn5neRufTAKzRmM1fexSuJQFaCkqaV%2BkztKz4N1td%2BO%2B8uhaEafxf8mqrBLTH31BpLaBwiwGQHlzOF3hfwzbIuUiiNVuwKaJnHSH7qrcxZjjyp0Eci815yu8Uf1eODXpO89t213pUBa26zhP3eX%2BzuCweEKhun4cDlEHTdXAXNZgdCiPVG%2FJauK6ZwLYY3cmn%7Ctkp%3ABk9SR8TSv42jYg
,,,,https://www.ebay.com/itm/325707846938?epid=11022065850&hash=item4bd5b3551a:g:iqoAAOSwN3hkmDOP&amdata=enc%3AAQAIAAAA0KWwlbWgZtNwltLj3nk4XgCrqFoMrX3pr%2FPcMzSkX7iOj7REi49%2BDoRSlHANU%2F4CXFu2dL3s3HrjIzPjLa5aF6%2FImH6DHhu2R3CLmlgIG0V1FOFNH2SE0MbfKDjSAn4FG4bfplYaM7N0kM4i2M33Je3sdvayasNHxAKAdt7L%2BZJeHOn%2Fs%2Bs3wKLomvAJEshad0bd7hINbK3AMKEdDD%2BMcGW%2FDBjqfTUNYWy6ecO47C158Yw7YNg0MDpNp42A3eB1mNZh3vek65o6RDfW1hr1wG8%3D%7Ctkp%3ABk9SR8TSv42jYg
"Lot of 11 Microsoft Surface 1724 Tablets i5-6650U 16GB RAM, 256GB SSD EUFI Win10",US,$699.99,Used,Microsoft,i5-6650U 2.2 Ghz,"12""",,16 GB,256 GB,,,,Surface,,1724,Windows 10 Pro,,,,https://www.ebay.com/itm/175799363897?epid=18059577708&hash=item28ee756939:g:P4cAAOSwP1lkoNuW&amdata=enc%3AAQAIAAAAwCxoW0F80v4m6xYcrw6IBt7%2BqlqF8csQMwgZ7abmn%2BIFDKYL669mptvRRDdOuYq2cFc4tjlbpaWa414gdvkD7CrCN2ofJ%2F44bjWSiXS%2FPq9OwaOhe%2F9MquckbJUxcPrQ3liMgtA039F%2BCiotupxf1%2BycCzWp6BV9YubiMJIjDv6aKUlpKsgVOQCVih2grCavsGek574P45BTyHXOPdeL65BhXmMZLt5M48Rb154RTh4syoq9T%2B8nZ26gDHZw4l54Rg%3D%3D%7Ctkp%3ABk9SR8TSv42jYg
HP Envy 17t-n100 Intel Core i7-6700HQ 2.6GHz Quad-Core 16GB RAM NO HDD. Read,US,$79.76,For parts or not working,Intel Core i7 6th Gen.,17.3 in,Silver,4 GB,,,2.60 GHz,HP,ENVY,Notebook/Laptop,1920 x 1080,HP ENVY 17t-n100,Windows 10,NA,SSD (Solid State Drive),,https://www.ebay.com/itm/334922284056?hash=item4dfaec7c18:g:-jgAAOSwT69kkipy&amdata=enc%3AAQAIAAAAsLEprLLe%2FzEjUoUsF4I1ZNZx2jx7O0nHVlqRlpifNHvSbrmbxHvLZLgnqCCxTfpzIJchl90P3Ak2%2FmBxRugnchGgsD4YlnvtFEres%2FwsfaYPTQd924FscJndEYOhWa7bLDQOwEhvmTAXmWB%2BFH1r%2BZa8wVGGd6pW5L0l2hg0rGEf8p%2FxzJfgl9TcbGm9DCBbFIAulFx2lpGJX%2BQaZc%2F%2BUFhYGij0bZ1XIq7V2DQveISQ%7Ctkp%3ABk9SR8TSv42jYg
HP EliteBook 840 G2 Laptop Intel Core i5 2.3GHz 500GB Hard Drive 8GB Ram Windows,US,$170.00,Very Good - Refurbished,Intel Core i5 5th Gen.,14 in,Silver,8 GB,None,Intel HD Graphics,2.30 GHz,HP,EliteBook,Notebook/Laptop,1366 x 768,HP EliteBook 840 G2,Windows 10 Pro,500 GB,HDD (Hard Disk Drive),,https://www.ebay.com/itm/185642202416?hash=item2b39233530:g:68gAAOSwHdtjiRru&amdata=enc%3AAQAIAAAA4M9lDchHdK5FdAyrUVJB8D6ugiOurlV2i1zjAyXJdoVMf1QberObhcPXOZ0a55Inz%2FRKvhUx%2FTgR%2FWihvMjryIkWek%2BpOHbg6hTMEcl3lzj%2F17lK46ZGV%2FNHqTgpKM0cyKlyNGb0ch2dYD4Y3zBNtARzwEhW%2FKphtqBjCepzQRVKuv6chGoCi%2BU%2BWbSnNNM2NGhLKDluc5lt%2FpgyumgQvkKU40OOeGwLPSKH2PsI8ad4eOB2Ca3ywGEwJkuSkTvVeXif68oVEsZt0mf8YKrr0a8q%2BxbbCAzNgeGNrr8Qu2Yc%7Ctkp%3ABk9SR8TSv42jYg
"Lenovo ThinkPad T460s 14” FHD Laptop i7-660U, 8 GB RAM, 128GB NVMe w/Adapter",,,Used,Intel i7-6600U,14 in,,8 GB,128 GB,Intel HD Graphics,2.60 GHz,Lenovo,ThinkPad,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad T460S,Windows 10 Pro,,SSD (Solid State Drive),,https://www.ebay.com/itm/204345017565?hash=item2f93e984dd:g:dRAAAOSw34xkZ8Zc&amdata=enc%3AAQAIAAAA4PiItLsBK4q2K7Kl9WVLcNfawnPCMpa1m%2BT24oMtxXMD8f4Su4%2BJ2i02Wm2eE0%2BFOzVuXH0L4A%2FB29qOCnDSkBAfrusBv7XYmQFvfDWEDi7oC4H6FesakKiWv96yOd6QhPRZZUNAzQ89g6BaeXwOLVSvJ2h4jNA3N61mWH8uoIXGH5lMpyxktxHZRFAOQW76Bw6EjaZaB0v12Ol0DwGH%2BeHAEvxs%2FKw0pIniuVmdTLQdJPpxCCFbmXxewZJs%2BRdJ7BbrXFkVKnuCzQAzI2tlB4DzHqGXLLBeNMt%2Bem9RfSbU%7Ctkp%3ABk9SR8TSv42jYg
"Lenovo ThinkPad T480s | i5-8350U@1.7Ghz  | 8GB RAM | No OS, HDD",US,$91.00,Used,i5-8350U,14 in,Black,8 GB,,Intel HD Graphics,1.7 GHz,Lenovo,ThinkPad,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad T480s,None/Windows Pro Embedded,None,SSD (Solid State Drive),,https://www.ebay.com/itm/115845100944?hash=item1af8e7f590:g:jvwAAOSwZ0hki2jM&amdata=enc%3AAQAIAAAAsGV%2F6jtJNu2BjOPJqgOtgDu%2BGbIk%2BbRB5CZUeOtmcOufRCn0dw3BWLtSGkt0xQ5EII%2B9o8cUrJ3CJn6ebWf%2BsLySc8QNiFzOnHO9mpObuA%2F25zLyrNVmmDx6X4ZWVRsxEJMhg1NAspHVMPU0DplVWEmhifXyHxYRz35gX0%2FFv%2B%2BsWohv7k3VNyzmSbrgTyHOs8BzBfPz%2FIdoz0l%2BvC73YQdt2bVmqqdrsD25R3momTyE%7Ctkp%3ABk9SR8TSv42jYg
Lot of 5 Lenovo T450/T450S i5-5300M 2.3GHZ 8GB RAM 500GB HDD NO OS,US,$225.00,Used,Intel Core i5 5th Gen.,14 in,Black,8 GB,,Intel HD Graphics,2.30 GHz,Lenovo,ThinkPad,Notebook/Laptop,1600 x 900,Lenovo ThinkPad T450S,Not Included,500 GB,HDD (Hard Disk Drive),,https://www.ebay.com/itm/175799362465?hash=item28ee7563a1:g:WHsAAOSwTg9koNED&amdata=enc%3AAQAIAAAAwB9BcD6C54GmhWxKp3BZQ1M0XZRA3%2B3mIUdeoYK59qSaF4GQK%2B8aEcwTF8KuKQCEIhXPZGrbVLJIAJRF8d0azjBwHwN6tGzjfqC1eMmsWz2VeJKB44F1AQs3AjCsnDLx%2B0uLuV8X%2FI6bRzpAjyKR5zQTGettefTLK2aqw4Xdt07ipcGVl6%2Bt2m7A11jxN560AvVHpYCLYr0wSXnu8pwl7%2FPIYXEeMCZmoZuuwCOu8EOd%2FwIr7fcjR0AyFcsTjaLWKA%3D%3D%7Ctkp%3ABk9SR8TSv42jYg
Dell Latitude 7490 | i5-8350U | 8GB RAM | 256GB SSD | LINUX | LOW BATTERY,,,Used,Intel Core i5 8th Gen.,14 in,,8 GB,,,1.70 GHz,Dell,Latitude,Notebook/Laptop,1920 x 1080,Dell Latitude 7490,Linux,,SSD (Solid State Drive),,https://www.ebay.com/itm/225623507970?hash=item3488358402:g:nNMAAOSwj1NkjfTR&amdata=enc%3AAQAIAAAA4FdCHq9r3DXqrTEBIOt6prsJAYVEGPQnWPcsv2LzgZb20gM7zmmFHCbC0yosYpDyFyL%2Bqea30ZXdTBqkVcZ%2FInDPKdmxmyPqdc5kAFv4roYD4%2F%2BR0azmz7EwjGcDUWkJzdeATrj9Mt9tEElePxAZMJP4PGI61clhDjZgExNW5ZwMVQ9y8EP%2FBNYvRielzBPVzawN9ECdA%2BNa7P4dRisR1VWO7RdYm3gIGn0fnKUGXrAwUzWbdIidMswPNSpOV2YO2UqrFJVU2fJ%2BKOcwmrcSXWqrGHkrMuEAyscR94iAgfLi%7Ctkp%3ABk9SR8bSv42jYg
